title,description,event_format,language,url,date_start,date_finish,cme,status
International Conference on Corneal Disorders in March 2021 in Miami,March 2021 in Miami,online,English,https://waset.org/corneal-disorders-conference-in-march-2021-in-miami,2021-03-11,2021-03-12,0,confirmed
International Conference on Ophthalmology and Vision Defects in March 2021 in Miami,March 2021 in Miami,online,English,https://waset.org/ophthalmology-and-vision-defects-conference-in-march-2021-in-miami,2021-03-11,2021-03-12,0,confirmed
International Conference on Advances in Clinical Ophthalmology in March 2021 in London,in March 2021 in London,online,English,https://waset.org/advances-in-clinical-ophthalmology-conference-in-march-2021-in-london,2021-03-15,2021-03-16,0,confirmed
International Conference on Cataract and Refractive Surgery in March 2021 in London,March 2021 in London,online,English,https://waset.org/cataract-and-refractive-surgery-conference-in-march-2021-in-london,2021-03-15,2021-03-16,0,confirmed
International Conference on Ophthalmology and  Optometry and Vision Therapy in March 2021 in London,March 2021 in London,online,English,https://waset.org/ophthalmology-optometry-and-vision-therapy-conference-in-march-2021-in-london,2021-03-15,2021-03-16,0,confirmed
International Conference on Cornea and Corneal Diseases in March 2021 in Prague,March 2021 in Prague,online,English,https://waset.org/cornea-and-corneal-diseases-conference-in-march-2021-in-prague,2021-03-22,2021-03-23,0,confirmed
International Conference on Clinical and Experimental Ophthalmology in March 2021 in Istanbul,March 2021 in Istanbul,online,English,https://waset.org/clinical-and-experimental-ophthalmology-conference-in-march-2021-in-istanbul,2021-03-22,2021-03-23,0,confirmed
International Conference on Current Trends in Clinical Ophthalmology in March 2021 in Dubai,in March 2021 in Dubai,online,English,https://waset.org/current-trends-in-clinical-ophthalmology-conference-in-march-2021-in-dubai,2021-03-22,2021-03-23,0,confirmed
International Conference on Corneal Ulceration and Degeneration in March 2021 in Dubai,March 2021 in Dubai,online,English,https://waset.org/corneal-ulceration-and-degeneration-conference-in-march-2021-in-dubai,2021-03-22,2021-03-23,0,confirmed
International Conference on Drug Treatments of Allergic Conjunctivitis in March 2021 in Dubai,March 2021 in Dubai,online,English,https://waset.org/drug-treatments-of-allergic-conjunctivitis-conference-in-march-2021-in-dubai,2021-03-22,2021-03-23,0,confirmed
International Conference on Glaucoma: Visual Field Loss in March 2021 in Prague,March 2021 in Prague,online,English,https://waset.org/glaucoma-visual-field-loss-conference-in-march-2021-in-prague,2021-03-22,2021-03-23,0,confirmed
International Conference on Ophthalmology and Optometry in March 2021 in Istanbul,March 2021 in Istanbul,online,English,https://waset.org/ophthalmology-and-optometry-conference-in-march-2021-in-istanbul,2021-03-22,2021-03-23,0,confirmed
International Conference on Ophthalmology and  Vision Therapy and Care in March 2021 in Prague,March 2021 in Prague,online,English,https://waset.org/ophthalmology-vision-therapy-and-care-conference-in-march-2021-in-prague,2021-03-22,2021-03-23,0,confirmed
International Conference on Corneal Reshaping in March 2021 in Madrid,March 2021 in Madrid,online,English,https://waset.org/corneal-reshaping-conference-in-march-2021-in-madrid,2021-03-25,2021-03-26,0,confirmed
International Conference on Eye and Sorroundings Disorders in March 2021 in Tokyo,March 2021 in Tokyo,online,English,https://waset.org/eye-and-sorroundings-disorders-conference-in-march-2021-in-tokyo,2021-03-25,2021-03-26,0,confirmed
International Conference on Ophthalmology and Myasthenia Gravis in March 2021 in Tokyo,March 2021 in Tokyo,online,English,https://waset.org/ophthalmology-and-myasthenia-gravis-conference-in-march-2021-in-tokyo,2021-03-25,2021-03-26,0,confirmed
